Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,18053222734.8881,18799444414.5998
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.081,63.565
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.299082634225993,0.297563650500103
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,15156424015.1977,15401826127.2539
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.184,79.282
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.85464154039805,1.74946245713759
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,174910684781.571,171760275466.61
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.066,76.474
Algeria,DZA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.92429872230088,3.99440182789199
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,639000000,647000000
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..
American Samoa,ASM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,..
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,3218418631.67579,3155150255.91195
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..
Andorra,AND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.59405703011478,6.2872038038851
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,79450688232.0011,70897962712.6213
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.144,62.448
Angola,AGO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.755827619476188,0.753638205444169
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1661529629.62963,1725351851.85185
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.511,78.691
Antigua and Barbuda,ATG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.5508261847074,5.52558159731646
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,524819892360.176,447754683615.225
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.999,77.284
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.97565074444479,3.74202981162433
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,12457940694.7395,13619290539.2116
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.064,75.439
Armenia,ARM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.01377938113001,2.1965523671897
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,3276184357.5419,3395798882.68156
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.072,76.248
Aruba,ABW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,..
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1429733668185.91,1394671325960.57
